row,wavelength,n_real,n_imag,aa,bb
458,0.532,1.3,0.0,10,0.17
459,0.532,1.3,0.0,10,0.18
460,0.532,1.3,0.0,10,0.19
461,0.532,1.3,0.0,10,0.2
462,0.532,1.3,0.0,10,0.21
463,0.532,1.3,0.0,10,0.22
464,0.532,1.3,0.0,10,0.23
465,0.532,1.3,0.0,10,0.24
466,0.532,1.3,0.0,10,0.25
467,0.532,1.3,0.0,10,0.26
468,0.532,1.3,0.0,10,0.27
469,0.532,1.3,0.0,10,0.28
470,0.532,1.3,0.0,10,0.29
471,0.532,1.3,0.0,10,0.3
472,0.532,1.3,0.0,10,0.31
473,0.532,1.3,0.0,10,0.32
474,0.532,1.3,0.0,10,0.33
475,0.532,1.3,0.0,10,0.34
476,0.532,1.3,0.0,10,0.35
477,0.532,1.3,0.0,10,0.36
478,0.532,1.3,0.0,10,0.37
479,0.532,1.3,0.0,10,0.38
480,0.532,1.3,0.0,10,0.39
481,0.532,1.3,0.0,10,0.4
482,0.532,1.3,0.0,10,0.41
483,0.532,1.3,0.0,10,0.42
484,0.532,1.3,0.0,10,0.43
485,0.532,1.3,0.0,10,0.44
486,0.532,1.3,0.0,10,0.45
487,0.532,1.3,0.0,10,0.46
488,0.532,1.3,0.0,10,0.47
489,0.532,1.3,0.0,10,0.48
490,0.532,1.3,0.0,10,0.49
491,0.532,1.3,0.0,11,0.01
492,0.532,1.3,0.0,11,0.02
493,0.532,1.3,0.0,11,0.03
494,0.532,1.3,0.0,11,0.04
495,0.532,1.3,0.0,11,0.05
496,0.532,1.3,0.0,11,0.06
497,0.532,1.3,0.0,11,0.07
498,0.532,1.3,0.0,11,0.08
499,0.532,1.3,0.0,11,0.09
500,0.532,1.3,0.0,11,0.1
501,0.532,1.3,0.0,11,0.11
502,0.532,1.3,0.0,11,0.12
503,0.532,1.3,0.0,11,0.13
504,0.532,1.3,0.0,11,0.14
505,0.532,1.3,0.0,11,0.15
506,0.532,1.3,0.0,11,0.16
507,0.532,1.3,0.0,11,0.17
508,0.532,1.3,0.0,11,0.18
509,0.532,1.3,0.0,11,0.19
510,0.532,1.3,0.0,11,0.2
511,0.532,1.3,0.0,11,0.21
512,0.532,1.3,0.0,11,0.22
513,0.532,1.3,0.0,11,0.23
514,0.532,1.3,0.0,11,0.24
515,0.532,1.3,0.0,11,0.25
516,0.532,1.3,0.0,11,0.26
517,0.532,1.3,0.0,11,0.27
518,0.532,1.3,0.0,11,0.28
519,0.532,1.3,0.0,11,0.29
520,0.532,1.3,0.0,11,0.3
521,0.532,1.3,0.0,11,0.31
522,0.532,1.3,0.0,11,0.32
523,0.532,1.3,0.0,11,0.33
524,0.532,1.3,0.0,11,0.34
525,0.532,1.3,0.0,11,0.35
526,0.532,1.3,0.0,11,0.36
527,0.532,1.3,0.0,11,0.37
528,0.532,1.3,0.0,11,0.38
529,0.532,1.3,0.0,11,0.39
530,0.532,1.3,0.0,11,0.4
531,0.532,1.3,0.0,11,0.41
532,0.532,1.3,0.0,11,0.42
533,0.532,1.3,0.0,11,0.43
534,0.532,1.3,0.0,11,0.44
535,0.532,1.3,0.0,11,0.45
536,0.532,1.3,0.0,11,0.46
537,0.532,1.3,0.0,11,0.47
538,0.532,1.3,0.0,11,0.48
539,0.532,1.3,0.0,11,0.49
540,0.532,1.3,0.0,12,0.01
541,0.532,1.3,0.0,12,0.02
542,0.532,1.3,0.0,12,0.03
543,0.532,1.3,0.0,12,0.04
544,0.532,1.3,0.0,12,0.05
545,0.532,1.3,0.0,12,0.06
546,0.532,1.3,0.0,12,0.07
547,0.532,1.3,0.0,12,0.08
548,0.532,1.3,0.0,12,0.09
549,0.532,1.3,0.0,12,0.1
550,0.532,1.3,0.0,12,0.11
551,0.532,1.3,0.0,12,0.12
552,0.532,1.3,0.0,12,0.13
553,0.532,1.3,0.0,12,0.14
554,0.532,1.3,0.0,12,0.15
555,0.532,1.3,0.0,12,0.16
556,0.532,1.3,0.0,12,0.17
557,0.532,1.3,0.0,12,0.18
558,0.532,1.3,0.0,12,0.19
559,0.532,1.3,0.0,12,0.2
560,0.532,1.3,0.0,12,0.21
561,0.532,1.3,0.0,12,0.22
562,0.532,1.3,0.0,12,0.23
563,0.532,1.3,0.0,12,0.24
564,0.532,1.3,0.0,12,0.25
565,0.532,1.3,0.0,12,0.26
566,0.532,1.3,0.0,12,0.27
567,0.532,1.3,0.0,12,0.28
568,0.532,1.3,0.0,12,0.29
569,0.532,1.3,0.0,12,0.3
570,0.532,1.3,0.0,12,0.31
571,0.532,1.3,0.0,12,0.32
572,0.532,1.3,0.0,12,0.33
573,0.532,1.3,0.0,12,0.34
574,0.532,1.3,0.0,12,0.35
575,0.532,1.3,0.0,12,0.36
576,0.532,1.3,0.0,12,0.37
577,0.532,1.3,0.0,12,0.38
578,0.532,1.3,0.0,12,0.39
579,0.532,1.3,0.0,12,0.4
580,0.532,1.3,0.0,12,0.41
581,0.532,1.3,0.0,12,0.42
582,0.532,1.3,0.0,12,0.43
583,0.532,1.3,0.0,12,0.44
584,0.532,1.3,0.0,12,0.45
585,0.532,1.3,0.0,12,0.46
586,0.532,1.3,0.0,12,0.47
587,0.532,1.3,0.0,12,0.48
588,0.532,1.3,0.0,12,0.49
589,0.532,1.3,0.0,13,0.01
590,0.532,1.3,0.0,13,0.02
591,0.532,1.3,0.0,13,0.03
592,0.532,1.3,0.0,13,0.04
593,0.532,1.3,0.0,13,0.05
594,0.532,1.3,0.0,13,0.06
595,0.532,1.3,0.0,13,0.07
596,0.532,1.3,0.0,13,0.08
597,0.532,1.3,0.0,13,0.09
598,0.532,1.3,0.0,13,0.1
599,0.532,1.3,0.0,13,0.11
600,0.532,1.3,0.0,13,0.12
601,0.532,1.3,0.0,13,0.13
602,0.532,1.3,0.0,13,0.14
603,0.532,1.3,0.0,13,0.15
604,0.532,1.3,0.0,13,0.16
605,0.532,1.3,0.0,13,0.17
606,0.532,1.3,0.0,13,0.18
607,0.532,1.3,0.0,13,0.19
608,0.532,1.3,0.0,13,0.2
609,0.532,1.3,0.0,13,0.21
610,0.532,1.3,0.0,13,0.22
611,0.532,1.3,0.0,13,0.23
612,0.532,1.3,0.0,13,0.24
613,0.532,1.3,0.0,13,0.25
614,0.532,1.3,0.0,13,0.26
615,0.532,1.3,0.0,13,0.27
616,0.532,1.3,0.0,13,0.28
617,0.532,1.3,0.0,13,0.29
618,0.532,1.3,0.0,13,0.3
619,0.532,1.3,0.0,13,0.31
620,0.532,1.3,0.0,13,0.32
621,0.532,1.3,0.0,13,0.33
622,0.532,1.3,0.0,13,0.34
623,0.532,1.3,0.0,13,0.35
624,0.532,1.3,0.0,13,0.36
625,0.532,1.3,0.0,13,0.37
